target_id	length	eff_length	est_counts	tpm
FBtr0081624	299	104.101	432.5	164.875
FBtr0071763	4847	4652.03	178.924	1.52633
FBtr0071764	5173	4978.03	0	0
FBtr0100521	4665	4470.03	305.133	2.70895
FBtr0342981	3897	3702.03	21.9433	0.235225
FBtr0083387	4458	4263.03	0	0
FBtr0083388	3935	3740.03	219.617	2.33031
FBtr0300485	4559	4364.03	104.892	0.953842
FBtr0306337	5269	5074.03	121.491	0.950196
FBtr0083381	3549	3354.03	71.1531	0.841879
FBtr0083382	3297	3102.03	102.248	1.30808
FBtr0083383	3250	3055.03	119.784	1.55598
FBtr0083384	4743	4548.03	222.972	1.94558
FBtr0083385	3703	3508.03	57.0363	0.645224
FBtr0330709	2537	2342.03	0	0
FBtr0346764	2537	2342.03	0	0
FBtr0075357	6006	5811.03	0	0
FBtr0112790	12564	12369	1511.36	4.84904
FBtr0330130	6261	6066.03	0	0
FBtr0330131	5967	5772.03	16.2335	0.111611
FBtr0330132	5913	5718.03	87.5289	0.607474
FBtr0330133	6315	6120.03	0	0
FBtr0330134	5712	5517.03	0	0
FBtr0330135	5658	5463.03	0	0
FBtr0330136	6060	5865.03	0	0
FBtr0345369	12510	12315	3334.37	10.7449
FBtr0080168	1794	1599.03	207	5.13732
FBtr0070072	917	722.029	0	0
FBtr0082780	7980	7785.03	1747.67	8.90888
FBtr0300486	4076	3881.03	37.857	0.387099
FBtr0335223	3262	3067.03	39.4683	0.510686
FBtr0074015	2690	2495.03	2.6674e-08	4.24263e-10
FBtr0100326	2606	2411.03	0	0
FBtr0100328	3518	3323.03	235.808	2.81609
FBtr0290063	2627	2432.03	1.02423e-05	1.67128e-07
FBtr0290064	2594	2399.03	104.128	1.72248
FBtr0305189	2663	2468.03	0	0
FBtr0305190	2573	2378.03	0	0
FBtr0305191	4343	4148.03	89.9761	0.860812
FBtr0305192	2579	2384.03	0	0
FBtr0305193	2612	2417.03	0	0
FBtr0305194	2630	2435.03	0	0
FBtr0305195	2651	2456.03	43.0882	0.696222
FBtr0305196	2636	2441.03	0	0
FBtr0085609	1944	1749.03	318.007	7.21543
FBtr0085610	1889	1694.03	133.993	3.13895
FBtr0084619	3826	3631.03	57.1351	0.624448
FBtr0330310	3826	3631.03	57.1351	0.624448
FBtr0334916	11027	10832	613.73	2.24848
FBtr0072367	5370	5175.03	167.461	1.28417
FBtr0072368	5425	5230.03	217.539	1.65065
FBtr0073299	2460	2265.03	1539.96	26.981
FBtr0073300	818	623.029	292.04	18.6019
FBtr0084639	2387	2192.03	94.0101	1.70197
FBtr0084640	2319	2124.03	47.9899	0.896628
FBtr0070822	1637	1442.03	0	0
FBtr0070823	2653	2458.03	3844.45	62.0684
FBtr0100662	2252	2057.03	6159.98	118.84
FBtr0100663	1928	1733.03	26443	605.519
FBtr0345894	2863	2668.03	0	0
FBtr0086029	1626	1431.03	5130	142.263
FBtr0071519	1724	1529.03	61382	1593.12
FBtr0078478	1543	1348.03	114700	3376.66
FBtr0334090	1619	1424.03	2999.74	83.5964
FBtr0082785	1567	1372.03	30093.4	870.422
FBtr0082786	1643	1448.03	5811.44	159.268
FBtr0346242	1853	1658.03	63.7703	1.52633
FBtr0083143	1595	1400.03	6765.05	191.759
FBtr0079219	4281	4086.03	78.8666	0.765974
FBtr0079220	4337	4142.03	155.697	1.49173
FBtr0079221	4277	4082.03	983.436	9.56077
FBtr0079431	4480	4285.03	713.134	6.6045
FBtr0100353	1556	1361.03	136.866	3.9907
FBtr0339663	4718	4523.03	0	0
FBtr0086111	1668	1473.03	22.1278	0.596141
FBtr0086112	1795	1600.03	70.9764	1.76039
FBtr0086113	1675	1480.03	241.768	6.48263
FBtr0330252	1668	1473.03	22.1278	0.596141
FBtr0100589	1057	862.029	31539.7	1451.97
FBtr0100590	1001	806.029	12571.5	618.957
FBtr0100591	2080	1885.03	65.4741	1.3784
FBtr0100593	2024	1829.03	5.30543	0.115113
FBtr0100594	1231	1036.03	1552.19	59.4561
FBtr0006151	2080	1885.03	65.4741	1.3784
FBtr0100187	2024	1829.03	5.30543	0.115113
FBtr0343699	915	720.029	0	0
FBtr0086744	2291	2096.03	1023	19.3687
FBtr0340288	2241	2046.03	0	0
FBtr0078053	1806	1611.03	16	0.39413
FBtr0083478	2113	1918.03	284.36	5.8835
FBtr0331348	2141	1946.03	5.64036	0.115022
FBtr0084994	2636	2441.03	26740.8	434.734
FBtr0084995	1279	1084.03	3479.1	127.365
FBtr0084999	1483	1288.03	10222.1	314.946
FBtr0085000	1747	1552.03	4963.98	126.927
